LandUse,LandForm,SoilTypeAndThickness,Geology,Slope,Aspect,SPI,TWI,STI,Rainfall,DistanceToWaterways,Class
,,NM,ChGn,SlopeCategory5,AspectCategory5,SPICategory1,TWICategory3,STICategory1,RainfallCategory3,DistanceTWCategory1,0
Village Homlets,C22,Residual t=1-2,Qtzfd,SlopeCategory5,AspectCategory5,SPICategory1,TWICategory2,STICategory1,RainfallCategory3,DistanceTWCategory4,0
Rubber,D34,Residual t=1-2,ChGn,SlopeCategory5,AspectCategory5,SPICategory1,TWICategory3,STICategory1,RainfallCategory2,DistanceTWCategory3,0
Rubber,C22,Residual t<1,GrGn,SlopeCategory1,AspectCategory5,SPICategory1,TWICategory1,STICategory2,RainfallCategory2,DistanceTWCategory1,0
Rubber,D38,Residual t=2-3,Kh,SlopeCategory4,AspectCategory4,SPICategory2,TWICategory2,STICategory1,RainfallCategory3,DistanceTWCategory2,0
Dense Mixed Forests,D37,Residual t=1-2,Kh,SlopeCategory5,AspectCategory1,SPICategory1,TWICategory2,STICategory1,RainfallCategory3,DistanceTWCategory2,0
,,Residual t=1-2,ChGn,SlopeCategory1,AspectCategory2,SPICategory1,TWICategory4,STICategory1,RainfallCategory6,DistanceTWCategory3,0
Paddy,C16,Residual t=2-3,Qtzfd,SlopeCategory1,,SPICategory1,TWICategory2,STICategory1,RainfallCategory4,DistanceTWCategory1,0
,,Residual t=1-2,GrGn,SlopeCategory2,AspectCategory5,SPICategory1,TWICategory4,STICategory1,RainfallCategory2,DistanceTWCategory1,0
Rubber,D32,Residual t=1-2,ChGn,SlopeCategory1,,SPICategory1,TWICategory5,STICategory1,RainfallCategory3,DistanceTWCategory2,0
Rubber,C22,Residual t=1-2,ChGn,SlopeCategory1,,SPICategory1,TWICategory2,STICategory1,RainfallCategory3,DistanceTWCategory1,0
Rubber,C22,Residual t=1-2,Kh,SlopeCategory1,,SPICategory1,TWICategory3,STICategory1,RainfallCategory2,DistanceTWCategory1,0
Scrubland,C22,Residual t=1-2,ChGn,SlopeCategory2,AspectCategory1,SPICategory1,TWICategory4,STICategory1,RainfallCategory4,DistanceTWCategory2,0
,,NM,ChGn,SlopeCategory5,AspectCategory5,SPICategory1,TWICategory3,STICategory1,RainfallCategory3,DistanceTWCategory1,0
Rubber,D38,Residual t=1-2,Qtzfd,SlopeCategory5,AspectCategory2,SPICategory1,TWICategory3,STICategory1,RainfallCategory4,DistanceTWCategory2,0
Miscellaneous Uses,C22,Residual t<1,GrGn,SlopeCategory1,AspectCategory1,SPICategory1,TWICategory3,STICategory1,RainfallCategory1,DistanceTWCategory2,0
Rubber,C22,Residual t=2-3,GrGn,SlopeCategory1,,SPICategory1,TWICategory4,STICategory1,RainfallCategory2,DistanceTWCategory1,0
Mixed Tree Crops,C22,Residual t=1-2,Qtz,SlopeCategory1,,SPICategory1,TWICategory3,STICategory1,RainfallCategory3,DistanceTWCategory1,0
Scrubland,C22,Residual t=2-3,ChGn,SlopeCategory3,AspectCategory5,SPICategory1,TWICategory3,STICategory2,RainfallCategory2,DistanceTWCategory1,0
,,Residual t=1-2,GtBtGn,SlopeCategory3,AspectCategory1,SPICategory1,TWICategory3,STICategory1,RainfallCategory2,DistanceTWCategory1,0
